datetime,instrument,0,confidence
2026-04-17,SH600309,0.20081437,0.9766203
2026-04-17,SZ002493,0.15934122,0.9675974
2026-04-17,SH600482,0.15437198,0.9617696
2026-04-17,SH600111,0.14801645,0.98298097
2026-04-17,SZ002648,0.14533025,0.9730464
2026-04-17,SH603501,0.14081159,0.95976245
2026-04-17,SH688169,0.1383653,0.97195745
2026-04-17,SZ002460,0.1335848,0.97610724
2026-04-17,SZ000975,0.13153887,0.975476
2026-04-17,SZ000338,0.12995017,0.9804795
2026-04-17,SH603259,0.12970623,0.98289615
2026-04-17,SH600989,0.12852603,0.97034824
2026-04-17,SH603296,0.1197167,0.9722239
2026-04-17,SZ300014,0.11268791,0.9814061
2026-04-17,SH600031,0.10691074,0.978529
2026-04-17,SH600547,0.10189509,0.97422874
2026-04-17,SH601318,0.10051138,0.9878007
2026-04-17,SH600741,0.097942896,0.98000264
2026-04-17,SH600015,0.09480833,0.97956467
2026-04-17,SZ002600,0.09445415,0.9808396
2026-04-17,SH600489,0.09444585,0.9793185
2026-04-17,SZ000977,0.093766145,0.9788851
2026-04-17,SH600515,0.092538334,0.97721183
2026-04-17,SZ300759,0.09025844,0.9741255
2026-04-17,SZ002241,0.08918535,0.98466414
2026-04-17,SH601059,0.08854706,0.976689
2026-04-17,SZ002475,0.088347755,0.9737873
2026-04-17,SZ002001,0.087456994,0.96710455
2026-04-17,SZ300274,0.08726,0.98178655
2026-04-17,SZ000708,0.08548183,0.9885783
2026-04-17,SZ000063,0.085471876,0.9772773
2026-04-17,SH601319,0.084464334,0.9893784
2026-04-17,SZ300347,0.08236501,0.97611976
2026-04-17,SZ300760,0.079750545,0.9814803
2026-04-17,SH600875,0.079574235,0.9759745
2026-04-17,SH600176,0.0792843,0.9717045
2026-04-17,SZ002371,0.07829078,0.9815475
2026-04-17,SH600926,0.07820647,0.9831791
2026-04-17,SH601377,0.07815602,0.98317736
2026-04-17,SH601136,0.07812526,0.9893784
2026-04-17,SH601901,0.078065716,0.9874099
2026-04-17,SZ000408,0.07789224,0.98620284
2026-04-17,SH601881,0.07619166,0.97984785
2026-04-17,SZ002736,0.07593461,0.9806943
2026-04-17,SH603288,0.07527494,0.98276776
2026-04-17,SH600188,0.07431985,0.9756368
2026-04-17,SH600010,0.074292086,0.9760419
2026-04-17,SZ000100,0.072811626,0.9791768
2026-04-17,SZ002601,0.07266723,0.9845991
2026-04-17,SH600009,0.071536325,0.9841785
2026-04-17,SH600415,0.07052142,0.98643076
