datetime,instrument,0,confidence
2026-05-06,SZ002475,0.1507194,0.97354716
2026-05-06,SH600893,0.1113861,0.96511835
2026-05-06,SZ000938,0.10857954,0.98098123
2026-05-06,SH601077,0.10746493,0.9730962
2026-05-06,SZ002625,0.106843196,0.98030865
2026-05-06,SZ003816,0.10091173,0.98011214
2026-05-06,SH603893,0.100160174,0.9719927
2026-05-06,SH601138,0.099065445,0.9753186
2026-05-06,SH600570,0.08885764,0.9719409
2026-05-06,SH600011,0.08834293,0.9821187
2026-05-06,SZ002230,0.08329972,0.98196685
2026-05-06,SZ002050,0.08324932,0.9646569
2026-05-06,SH600588,0.08179543,0.98784685
2026-05-06,SH600989,0.080142684,0.9816003
2026-05-06,SH601298,0.079547994,0.97647786
2026-05-06,SH688223,0.077094354,0.9756712
2026-05-06,SH600415,0.07630787,0.98252016
2026-05-06,SH601127,0.075932525,0.976857
2026-05-06,SH601360,0.07553332,0.9751804
2026-05-06,SH600039,0.07151642,0.9831791
2026-05-06,SZ300308,0.0713669,0.97735775
2026-05-06,SZ002142,0.07096975,0.98679197
2026-05-06,SH688082,0.07034188,0.9690103
2026-05-06,SZ002920,0.06979928,0.9673679
2026-05-06,SH600233,0.06822363,0.9754783
2026-05-06,SZ000408,0.06664524,0.96866256
2026-05-06,SH600919,0.06642442,0.97153205
2026-05-06,SH600219,0.065341495,0.98269606
2026-05-06,SZ300661,0.06409296,0.9778725
2026-05-06,SH600845,0.06356589,0.9659463
2026-05-06,SH600926,0.06221647,0.9772537
2026-05-06,SZ300124,0.06195987,0.98111504
2026-05-06,SZ300015,0.05808591,0.9783683
2026-05-06,SZ300316,0.058061622,0.97369087
2026-05-06,SH603260,0.057597943,0.971235
2026-05-06,SZ002916,0.05754345,0.98391193
2026-05-06,SH601939,0.056089334,0.98316306
2026-05-06,SZ002241,0.056066178,0.98188746
2026-05-06,SZ000333,0.05578553,0.9759176
2026-05-06,SH600025,0.05540646,0.9871673
2026-05-06,SH600741,0.054328643,0.9784096
2026-05-06,SH601009,0.05415178,0.9871316
2026-05-06,SH601916,0.053170986,0.9799661
2026-05-06,SZ301236,0.052822895,0.9789032
2026-05-06,SH600900,0.05273556,0.9782654
2026-05-06,SH601825,0.052339785,0.9795521
2026-05-06,SH601059,0.052230142,0.98060536
2026-05-06,SH688126,0.051458783,0.9735546
2026-05-06,SH600905,0.051362045,0.98129684
2026-05-06,SZ300014,0.050811462,0.9720157
