datetime,instrument,0,confidence
2026-04-16,SH601872,0.13668936,0.9660175
2026-04-16,SZ002493,0.13478097,0.98784465
2026-04-16,SH600111,0.1339072,0.97709924
2026-04-16,SH600026,0.12761378,0.97287613
2026-04-16,SH600309,0.12702796,0.9740481
2026-04-16,SH600482,0.12393602,0.9839499
2026-04-16,SH603296,0.11682252,0.9729264
2026-04-16,SZ300782,0.11442611,0.9852474
2026-04-16,SZ300014,0.1135742,0.98136246
2026-04-16,SH688169,0.11249668,0.97122353
2026-04-16,SZ002648,0.11001491,0.97623694
2026-04-16,SH600989,0.10912139,0.9796911
2026-04-16,SH603501,0.10755297,0.9832766
2026-04-16,SH603259,0.107146405,0.9728966
2026-04-16,SH688082,0.10303529,0.9838071
2026-04-16,SH600036,0.10170784,0.97880894
2026-04-16,SH600031,0.0961185,0.97813797
2026-04-16,SH601601,0.09568802,0.98485285
2026-04-16,SH600415,0.094970085,0.979152
2026-04-16,SH600547,0.093615524,0.9789964
2026-04-16,SZ000063,0.09275556,0.9800613
2026-04-16,SH600015,0.09240129,0.98168635
2026-04-16,SZ000708,0.091307305,0.98092836
2026-04-16,SZ000975,0.09089888,0.97711617
2026-04-16,SZ002241,0.08796049,0.9831225
2026-04-16,SH600460,0.08774706,0.9843093
2026-04-16,SH601318,0.086474605,0.98526645
2026-04-16,SZ002600,0.08543212,0.9822598
2026-04-16,SZ002920,0.08492846,0.9800623
2026-04-16,SH600160,0.084290765,0.9838666
2026-04-16,SH601058,0.08388477,0.9814264
2026-04-16,SH600276,0.08099087,0.9828272
2026-04-16,SH601059,0.08034592,0.9726749
2026-04-16,SH600115,0.07701888,0.97549427
2026-04-16,SZ002460,0.077015795,0.9762799
2026-04-16,SH600660,0.076511525,0.97867215
2026-04-16,SH600009,0.07599109,0.97871405
2026-04-16,SH600584,0.075962834,0.9716974
2026-04-16,SZ002049,0.073762126,0.98002887
2026-04-16,SZ300347,0.07334637,0.9838001
2026-04-16,SZ002371,0.07189532,0.9849792
2026-04-16,SH600926,0.07058521,0.9795889
2026-04-16,SZ000977,0.06860768,0.9777054
2026-04-16,SH688271,0.06837692,0.97989136
2026-04-16,SH688012,0.06658798,0.98599905
2026-04-16,SH600845,0.06525982,0.96966714
2026-04-16,SZ002384,0.06504186,0.9853285
2026-04-16,SH600515,0.06449395,0.9795059
2026-04-16,SZ000100,0.062623404,0.98401016
2026-04-16,SH601136,0.06218324,0.9815259
2026-04-16,SZ301269,0.061507575,0.97812814
2026-04-16,SH601818,0.059569664,0.9854988
2026-04-16,SZ000425,0.05935251,0.985107
2026-04-16,SZ300015,0.058582313,0.9818364
2026-04-16,SZ000001,0.05843722,0.97891164
2026-04-16,SH600489,0.058208264,0.983029
2026-04-16,SH601077,0.05764187,0.9827151
2026-04-16,SH601689,0.057612263,0.97748977
2026-04-16,SH600233,0.05727666,0.98278826
2026-04-16,SZ000725,0.05653145,0.98007
2026-04-16,SH600875,0.056101598,0.97988963
2026-04-16,SH600150,0.055869915,0.9770637
2026-04-16,SH600958,0.05387198,0.977188
2026-04-16,SH601668,0.053369813,0.9837478
2026-04-16,SH601888,0.05329352,0.9780292
2026-04-16,SZ000630,0.053050615,0.98440534
2026-04-16,SH601618,0.052719347,0.97423244
2026-04-16,SH601877,0.05189348,0.98315364
2026-04-16,SH600019,0.05154624,0.9898392
2026-04-16,SH600741,0.050981544,0.9794124
2026-04-16,SH601377,0.05089567,0.9769777
2026-04-16,SZ000963,0.05065792,0.98135525
2026-04-16,SH688396,0.050490774,0.9767253
2026-04-16,SH600000,0.049755774,0.9883399
2026-04-16,SZ000786,0.049734555,0.9853543
2026-04-16,SZ000538,0.04967106,0.9827627
2026-04-16,SH601899,0.048513286,0.9816187
2026-04-16,SZ300979,0.048196875,0.98112077
2026-04-16,SH601166,0.04806637,0.9898818
2026-04-16,SH601998,0.04764112,0.9804488
2026-04-16,SZ300418,0.04761318,0.9716709
2026-04-16,SZ300274,0.047125675,0.9803402
2026-04-16,SH600023,0.046603538,0.9751384
2026-04-16,SH601901,0.046285324,0.98224753
2026-04-16,SZ000333,0.04623968,0.9749708
2026-04-16,SH600061,0.04598006,0.9735998
2026-04-16,SH688187,0.04577308,0.97453624
2026-04-16,SH601169,0.045712553,0.9839544
2026-04-16,SH600919,0.045592777,0.98571706
2026-04-16,SH600887,0.04538428,0.98510045
2026-04-16,SH600795,0.045222707,0.9745918
2026-04-16,SH600066,0.044877373,0.974127
2026-04-16,SZ300628,0.04393428,0.975312
2026-04-16,SZ002230,0.043745823,0.9865741
2026-04-16,SH601298,0.043343805,0.98223543
2026-04-16,SZ002027,0.043160312,0.9841816
2026-04-16,SH601360,0.043112718,0.98731065
2026-04-16,SZ000625,0.042770438,0.98456013
2026-04-16,SH600029,0.042211793,0.96826774
2026-04-16,SH601288,0.041990303,0.97135633
2026-04-16,SZ300124,0.041919045,0.9806003
2026-04-16,SH600999,0.041912265,0.9757471
2026-04-16,SH601600,0.041306295,0.9725301
2026-04-16,SH600519,0.039202876,0.97951376
2026-04-16,SZ000651,0.038939305,0.9839094
2026-04-16,SZ002601,0.0389364,0.98125386
