datetime,instrument,0,confidence
2026-04-27,SH603993,0.21570957,0.9630885
2026-04-27,SZ300308,0.17673737,0.96238744
2026-04-27,SZ000630,0.17461461,0.9715417
2026-04-27,SZ300033,0.14792621,0.98276776
2026-04-27,SZ000776,0.14021993,0.98030764
2026-04-27,SH601899,0.12255841,0.9758782
2026-04-27,SZ002236,0.12247098,0.97001094
2026-04-27,SZ000708,0.11813787,0.9742356
2026-04-27,SZ300782,0.117731415,0.97467935
2026-04-27,SZ300476,0.11735285,0.9729661
2026-04-27,SH600048,0.11629739,0.9746104
2026-04-27,SH600741,0.11126145,0.97527236
2026-04-27,SH601628,0.10769323,0.972896
2026-04-27,SH600926,0.10755154,0.9738554
2026-04-27,SH688256,0.10741838,0.9735569
2026-04-27,SZ300750,0.106673785,0.97365916
2026-04-27,SH600875,0.10551437,0.97611976
2026-04-27,SZ002714,0.10492366,0.98576134
2026-04-27,SH603260,0.104211204,0.9809761
2026-04-27,SH600160,0.10290138,0.9696633
2026-04-27,SZ001979,0.10065063,0.9847081
2026-04-27,SH600438,0.10042461,0.97756755
2026-04-27,SH600489,0.10002143,0.98254126
2026-04-27,SZ002463,0.09943595,0.9887291
2026-04-27,SZ002028,0.09885182,0.9684542
2026-04-27,SZ002050,0.09875057,0.98123527
2026-04-27,SH605117,0.09519055,0.98075837
2026-04-27,SH600023,0.09399197,0.987275
2026-04-27,SH600660,0.092828296,0.98226523
2026-04-27,SH601100,0.08796034,0.97616494
2026-04-27,SH600010,0.087808155,0.97339827
2026-04-27,SH601059,0.08319681,0.9833761
2026-04-27,SH605499,0.082525514,0.97784233
2026-04-27,SZ002625,0.0818119,0.97972107
2026-04-27,SH600377,0.08159918,0.9708006
2026-04-27,SH600588,0.079813085,0.9772069
2026-04-27,SH601318,0.07797935,0.9755459
2026-04-27,SH601881,0.077661194,0.9798967
2026-04-27,SH600025,0.075505994,0.97999644
2026-04-27,SZ000977,0.07473419,0.9768832
2026-04-27,SH601698,0.07467917,0.98498595
2026-04-27,SZ000001,0.07405814,0.97460246
2026-04-27,SH601689,0.07284131,0.9856412
2026-04-27,SZ300760,0.072712325,0.98199147
2026-04-27,SH603986,0.07236444,0.96781296
2026-04-27,SZ000100,0.069443144,0.9810012
2026-04-27,SH601995,0.06904378,0.9880035
2026-04-27,SZ002601,0.06715461,0.9818277
2026-04-27,SH601077,0.06690516,0.97875446
2026-04-27,SH600015,0.06604516,0.98045385
2026-04-27,SZ002049,0.06564852,0.98303485
2026-04-27,SH601298,0.06437906,0.9845276
2026-04-27,SH601688,0.063998275,0.97910345
2026-04-27,SZ002384,0.06355699,0.9626579
2026-04-27,SH600061,0.063378,0.98304766
2026-04-27,SZ300979,0.061815016,0.98065865
2026-04-27,SZ300896,0.05802413,0.9799334
