datetime,instrument,0,confidence
2026-04-21,SH600309,0.2175951,0.9683068
2026-04-21,SH688256,0.17283922,0.9654768
2026-04-21,SH600176,0.16435647,0.9671268
2026-04-21,SH603501,0.16180828,0.9814431
2026-04-21,SH600482,0.15262261,0.95242953
2026-04-21,SH688041,0.15069363,0.9663231
2026-04-21,SZ000776,0.13808247,0.9800249
2026-04-21,SH600031,0.13630939,0.9661936
2026-04-21,SZ300347,0.1338726,0.96966785
2026-04-21,SH601881,0.13085145,0.9756644
2026-04-21,SH603993,0.12848309,0.9763341
2026-04-21,SH600741,0.123189084,0.9707879
2026-04-21,SH601628,0.12225538,0.979502
2026-04-21,SH603259,0.11845579,0.97708684
2026-04-21,SZ002460,0.11760614,0.9774613
2026-04-21,SZ300628,0.117209636,0.9760696
2026-04-21,SH601877,0.11550098,0.9792061
2026-04-21,SZ300896,0.11485573,0.98470044
2026-04-21,SH600048,0.11468848,0.970131
2026-04-21,SZ002236,0.11349418,0.9694374
2026-04-21,SH601211,0.10997736,0.97503906
2026-04-21,SZ000063,0.108908124,0.9867655
2026-04-21,SZ002463,0.105349086,0.97718656
2026-04-21,SH601878,0.10508069,0.9806309
2026-04-21,SH601318,0.10446348,0.98268026
2026-04-21,SH600010,0.104207896,0.97362036
2026-04-21,SH688082,0.10346844,0.98039323
2026-04-21,SZ002648,0.099933736,0.97022384
2026-04-21,SH600941,0.09974972,0.9790148
2026-04-21,SZ300759,0.09872701,0.9779971
2026-04-21,SH601688,0.09782242,0.9861124
2026-04-21,SZ000708,0.097256936,0.98028183
2026-04-21,SZ300015,0.097088985,0.975201
2026-04-21,SH688271,0.09654456,0.9784309
2026-04-21,SH600489,0.09639498,0.96566284
2026-04-21,SH601888,0.095677786,0.97481155
2026-04-21,SZ300124,0.09349983,0.9817515
2026-04-21,SH601319,0.09337152,0.9822578
2026-04-21,SZ002371,0.09323453,0.9715613
2026-04-21,SZ300433,0.09288848,0.97652847
2026-04-21,SH601901,0.09271396,0.98025227
2026-04-21,SH600795,0.09231945,0.9691172
2026-04-21,SH601059,0.09205172,0.9779739
2026-04-21,SH601377,0.09137776,0.98041934
2026-04-21,SH688047,0.09108802,0.98245424
2026-04-21,SZ002714,0.0889964,0.98457193
2026-04-21,SH600160,0.087781526,0.97903043
2026-04-21,SH600061,0.085726075,0.9825622
2026-04-21,SH600584,0.08333173,0.9699164
2026-04-21,SH601238,0.08198022,0.9803602
2026-04-21,SH601916,0.07840686,0.9654016
2026-04-21,SH601601,0.07687334,0.9758887
2026-04-21,SH600023,0.076574795,0.977995
2026-04-21,SZ000630,0.07555901,0.97559494
2026-04-21,SZ300760,0.074596025,0.9785881
2026-04-21,SH600009,0.074464284,0.9803792
2026-04-21,SH600085,0.072243504,0.9772993
2026-04-21,SH601100,0.07179897,0.9854439
2026-04-21,SZ000807,0.071652256,0.9758159
2026-04-21,SZ300059,0.071585916,0.98632497
2026-04-21,SH600547,0.07130889,0.9751105
2026-04-21,SH601816,0.06998036,0.9761672
2026-04-21,SH603019,0.06981333,0.97956103
2026-04-21,SH688012,0.06774505,0.9801375
2026-04-21,SH600036,0.06762535,0.9716429
2026-04-21,SZ002601,0.06711971,0.97996026
2026-04-21,SZ002625,0.06703899,0.9820952
2026-04-21,SH600588,0.06688654,0.98274463
2026-04-21,SZ002049,0.066578306,0.98317116
2026-04-21,SH600362,0.06547978,0.9803405
2026-04-21,SH600999,0.064397,0.9818959
2026-04-21,SZ000100,0.06439499,0.97567207
2026-04-21,SZ001979,0.06354176,0.9804822
2026-04-21,SH600893,0.06312873,0.9686462
2026-04-21,SZ301236,0.0626666,0.98645276
2026-04-21,SH600570,0.061391674,0.9793307
2026-04-21,SZ002001,0.061022915,0.98000973
2026-04-21,SZ000538,0.060977153,0.983132
2026-04-21,SZ000002,0.0609613,0.9794685
2026-04-21,SH601127,0.060684524,0.9826668
2026-04-21,SH600515,0.06037035,0.9780503
2026-04-21,SH601169,0.05987946,0.98347926
2026-04-21,SH601136,0.058534928,0.98178667
2026-04-21,SH601236,0.05627518,0.9881301
2026-04-21,SZ000001,0.055199884,0.9777194
2026-04-21,SH601066,0.054952793,0.98546845
2026-04-21,SH603799,0.054074354,0.98355305
2026-04-21,SZ002736,0.0534276,0.9783397
2026-04-21,SH601788,0.052818574,0.98414075
2026-04-21,SZ000166,0.05096125,0.98738676
2026-04-21,SH603195,0.050898366,0.98244655
2026-04-21,SZ302132,0.050548725,0.9828431
