datetime,instrument,0,confidence
2026-04-24,SH603993,0.20655465,0.96331173
2026-04-24,SZ000630,0.16960508,0.9643579
2026-04-24,SZ300347,0.15288332,0.9627968
2026-04-24,SZ002236,0.14029202,0.9745146
2026-04-24,SZ000776,0.12732744,0.9726812
2026-04-24,SZ300033,0.12668607,0.98273176
2026-04-24,SH600183,0.12619215,0.97386235
2026-04-24,SZ002625,0.12524766,0.9784828
2026-04-24,SZ002241,0.124344565,0.9836489
2026-04-24,SZ300308,0.12199228,0.9702011
2026-04-24,SZ300896,0.12056305,0.9791246
2026-04-24,SZ002049,0.11881026,0.9737066
2026-04-24,SH601628,0.11861657,0.9691338
2026-04-24,SH600176,0.11432635,0.9730353
2026-04-24,SZ000708,0.11192646,0.9806029
2026-04-24,SH600048,0.1114473,0.98392004
2026-04-24,SH688008,0.11123549,0.9523675
2026-04-24,SH601059,0.11091798,0.9843965
2026-04-24,SH600741,0.11035084,0.9714452
2026-04-24,SZ002463,0.10777279,0.98358846
2026-04-24,SH600010,0.10760067,0.96246386
2026-04-24,SH601881,0.10742723,0.9786993
2026-04-24,SZ000301,0.10741543,0.98166245
2026-04-24,SH600588,0.10593834,0.9706482
2026-04-24,SZ300782,0.10463711,0.9672976
2026-04-24,SH688256,0.10447156,0.9673368
2026-04-24,SH601878,0.10437959,0.9835301
2026-04-24,SZ002920,0.102797024,0.97830576
2026-04-24,SH603799,0.10163578,0.9785423
2026-04-24,SZ300476,0.100411616,0.9730357
2026-04-24,SH601377,0.099402465,0.98039126
2026-04-24,SH603986,0.09731942,0.98385876
2026-04-24,SH601100,0.09642231,0.9734928
2026-04-24,SZ002714,0.09221455,0.9814595
2026-04-24,SH600489,0.09158323,0.9828091
2026-04-24,SH600030,0.08975559,0.982756
2026-04-24,SZ300394,0.0886695,0.982486
2026-04-24,SH601899,0.08864351,0.98125845
2026-04-24,SH600584,0.08720211,0.98255044
2026-04-24,SH688082,0.0868093,0.9866946
2026-04-24,SZ002916,0.08665734,0.9730119
2026-04-24,SH600875,0.08603539,0.9688655
2026-04-24,SH600438,0.084047236,0.97999716
2026-04-24,SZ300979,0.08079644,0.9821207
2026-04-24,SH600926,0.08045768,0.98368734
2026-04-24,SZ300759,0.08021296,0.97602683
2026-04-24,SH601888,0.08014368,0.9814709
2026-04-24,SH600362,0.07950614,0.97932637
2026-04-24,SZ300059,0.07945605,0.98625135
2026-04-24,SZ300274,0.07911437,0.98483664
2026-04-24,SH601318,0.07910929,0.98261166
2026-04-24,SH688223,0.077893116,0.9839812
2026-04-24,SH603260,0.07712863,0.98058206
2026-04-24,SZ300316,0.07624071,0.9762724
2026-04-24,SH600061,0.07425717,0.97814447
2026-04-24,SH601901,0.07358626,0.98371947
2026-04-24,SH603501,0.072006695,0.97900826
2026-04-24,SH600031,0.07193831,0.96376526
2026-04-24,SZ002074,0.07019853,0.97764504
2026-04-24,SZ002475,0.069663264,0.98797
2026-04-24,SZ002601,0.06779062,0.9809123
2026-04-24,SZ300502,0.06729045,0.9723541
2026-04-24,SZ300433,0.06654962,0.98028517
2026-04-24,SH600547,0.06625908,0.97379124
2026-04-24,SH601995,0.06587242,0.980963
2026-04-24,SZ002050,0.06584977,0.9762004
2026-04-24,SH688047,0.06465065,0.97745574
2026-04-24,SH601916,0.064623274,0.97709936
2026-04-24,SH688303,0.06402699,0.97944725
2026-04-24,SZ000975,0.06354838,0.9892418
2026-04-24,SZ002600,0.062015094,0.98091286
2026-04-24,SZ002384,0.061621837,0.97354543
2026-04-24,SH600026,0.06114664,0.9750083
2026-04-24,SH605499,0.06033995,0.983622
2026-04-24,SZ001979,0.060152,0.9867105
2026-04-24,SH601688,0.06006553,0.9804857
2026-04-24,SZ300661,0.059330724,0.9754087
2026-04-24,SZ300442,0.05825133,0.97645175
2026-04-24,SH600660,0.056811474,0.98181605
2026-04-24,SH601077,0.056650005,0.98459876
2026-04-24,SZ000768,0.056512423,0.9788994
2026-04-24,SH688187,0.055884086,0.9880568
2026-04-24,SH601238,0.05406385,0.9837743
2026-04-24,SH601336,0.05268631,0.9771428
2026-04-24,SH601066,0.05225181,0.9836998
2026-04-24,SH601169,0.05112683,0.9763678
2026-04-24,SZ002230,0.050953947,0.9822711
2026-04-24,SH601319,0.05072198,0.9796321
2026-04-24,SH601136,0.05070769,0.98856735
2026-04-24,SZ000625,0.05063995,0.9726566
2026-04-24,SH600009,0.05052335,0.9880123
2026-04-24,SZ000876,0.050522916,0.98054457
2026-04-24,SZ000333,0.05050262,0.98395777
2026-04-24,SZ002027,0.048014738,0.9859671
2026-04-24,SH600039,0.04654912,0.97879046
2026-04-24,SZ300124,0.046065085,0.9808568
2026-04-24,SH688111,0.04498922,0.9833809
2026-04-24,SH600406,0.044798337,0.9771434
2026-04-24,SH601360,0.044656448,0.9827488
2026-04-24,SH601127,0.04328043,0.9818932
2026-04-24,SH600050,0.043053515,0.98056006
2026-04-24,SH600025,0.042086698,0.9832692
2026-04-24,SZ301269,0.041702993,0.98121464
2026-04-24,SH600460,0.041542508,0.9880029
2026-04-24,SZ002028,0.041509055,0.9804401
2026-04-24,SH600809,0.040660642,0.98745906
2026-04-24,SH601211,0.040052928,0.9779703
2026-04-24,SH601058,0.04000462,0.980809
2026-04-24,SH600570,0.03876134,0.9854585
2026-04-24,SH688472,0.038644962,0.9845436
2026-04-24,SH603893,0.038462035,0.9717762
2026-04-24,SZ001391,0.038286425,0.9859488
2026-04-24,SH600372,0.037943892,0.9879959
2026-04-24,SZ000100,0.03793665,0.98290265
2026-04-24,SH600276,0.03763216,0.97604114
2026-04-24,SH603019,0.0368478,0.9787194
2026-04-24,SH600887,0.036077023,0.98680645
2026-04-24,SH600519,0.036061257,0.983676
2026-04-24,SZ000002,0.035666145,0.9819864
2026-04-24,SH600160,0.03539931,0.97500026
2026-04-24,SZ002415,0.034206487,0.97990924
2026-04-24,SZ300015,0.034199253,0.97633284
2026-04-24,SH600893,0.03394852,0.98602724
2026-04-24,SH600015,0.03361498,0.9822181
2026-04-24,SZ002252,0.032702036,0.9780441
2026-04-24,SZ000596,0.032349326,0.97946554
2026-04-24,SH601868,0.031227984,0.97915274
2026-04-24,SH601288,0.030802429,0.97978175
2026-04-24,SH601877,0.030496366,0.985571
2026-04-24,SH601138,0.030408211,0.9789767
2026-04-24,SH600036,0.030397147,0.9880084
2026-04-24,SH600900,0.030242056,0.9783926
2026-04-24,SH601818,0.02992241,0.98264647
2026-04-24,SH600346,0.02962301,0.98032594
2026-04-24,SH600999,0.028359897,0.9798489
2026-04-24,SH600905,0.027971022,0.97480834
2026-04-24,SH601788,0.027884007,0.98666
2026-04-24,SZ000157,0.027277619,0.97775924
2026-04-24,SH601456,0.027052782,0.97839075
2026-04-24,SH600089,0.02638974,0.980229
2026-04-24,SH601328,0.025264993,0.9829238
2026-04-24,SH601236,0.024338871,0.986648
2026-04-24,SH600436,0.023981668,0.98452896
2026-04-24,SH600023,0.02393236,0.97869694
2026-04-24,SH688009,0.023622148,0.98765576
2026-04-24,SH600585,0.0232542,0.9766232
2026-04-24,SH600016,0.022942,0.9669667
2026-04-24,SH605117,0.022931755,0.9787515
